Type_of_surgery,OperationDesc,OperationType
26,הרניה 06,33
158,מעי גס 051,50
46,"עמ""ש 024(מבוגרים)",51
39,קטרקט א.יום,35
124,בלוטות לימפה 07,73
42,קיבה 05 ()LAP,2
26,הרניה 07 ()LAP,36
292,גפה תחתונה 06(מבוגרים),30
124,שד 06,64
86,בטן 06 ()LAP,B8
42,קיבה 05 ()LAP,2
26,הרניה 06,33
187,גפה עליונה 09(מבוגרים),26
32,הרניה 06,33
16,פרוקטו רקטום+פי הטבעת 04,E5
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
60,עפעפיים א.יום,1
66,הסרת נגע,11
66,הסרת נגע,11
186,מעי גס 041 ()LAP,49
113,BCC,14
88,ניתוח חזה,9
131,ווגינה ורצפת אגן,6
50,הרניה 001 ()LAP,40
13,החלפת מפרקים 021(מבוגרים),40
186,מעי גס 041 ()LAP,49
97,אנדוסקופיים 06,40
26,הרניה 06,33
186,מעי גס 061 ()LAP,52
46,"עמ""ש 003(מבוגרים)",49
158,מעי גס 051,50
23,קיבה 07 ()LAP,3
222,מעי דק 09,57
161,בטן 05,B5
46,"עמ""ש 003(מבוגרים)",49
186,מעי גס 041 ()LAP,49
292,גפה תחתונה 06(מבוגרים),30
124,בלוטות לימפה 07,73
20,כיס מרה 08 ()LAP,A0
228,שחלה,4
66,הסרת נגע,11
180,גפיים 04(מבוגרים),36
186,מעי גס 041 ()LAP,49
60,עפעפיים ח.פעולות,43
16,פרוקטו רקטום+פי הטבעת 04,E5
39,קטרקט א.יום,40
66,אחר 51,C3
120,גפה תחתונה 06(מבוגרים),30
42,קיבה 05 ()LAP,2
208,שונות 03(מבוגרים),53
121,גפה עליונה 02(מבוגרים),22
66,אחר 51,C3
124,בלוטות לימפה 07,73
39,קטרקט כללית באשפוז,34
39,קטרקט כללית באשפוז,34
84,קיבה 08,4
100,בטן 07,B9
158,פרוקטו רקטום+פי הטבעת 06,E6
26,הרניה 07 ()LAP,36
66,פרוקטו רקטום+פי הטבעת 03,E4
121,גפה עליונה 06(ילדים),3
288,גפה עליונה 09(מבוגרים),26
42,קיבה 08 ()LAP,5
21,ערמונית 09,24
49,מעי גס 051 ()LAP,51
186,מעי גס 041 ()LAP,49
180,שונות 54(מבוגרים),54
120,שונות 081(מבוגרים),58
